age,married,orientation,religion,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,MarriedN,OrientationN,ReligionN
27,Never,Hetero,Atheist,2.0,5.0,6.0,3.0,5.0,6.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,5.0
23,Never,Bi,Atheist,2.0,5.0,5.0,6.0,5.0,5.0,3.0,4.0,2.0,3.0,2.0,1.0,4.0,5.0
13,Never,New Types,Muslim,6.0,5.0,7.0,3.0,6.0,5.0,1.0,3.0,3.0,3.0,3.0,1.0,5.0,4.0
16,Never,New Types,Agnostic,5.0,6.0,4.0,4.0,6.0,6.0,3.0,2.0,1.0,3.0,3.0,1.0,5.0,7.0
14,Never,Homo,Christian Other,2.0,2.0,7.0,1.0,3.0,5.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0
24,Never,Hetero,Christian Other,2.0,4.0,7.0,4.0,6.0,7.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,2.0
21,Never,Hetero,Agnostic,3.0,6.0,5.0,6.0,2.0,3.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,7.0
13,Never,Hetero,Mormon,2.0,5.0,7.0,1.0,6.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0,10.0
18,Never,Bi,Atheist,6.0,3.0,6.0,4.0,5.0,5.0,4.0,3.0,1.0,2.0,2.0,1.0,4.0,5.0
13,Never,Hetero,Christian Other,6.0,5.0,7.0,3.0,6.0,1.0,5.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0
40,Previously,Hetero,Other,2.0,5.0,6.0,6.0,6.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
24,Never,Hetero,Other,1.0,1.0,2.0,7.0,6.0,5.0,6.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0
20,Never,Hetero,Muslim,6.0,5.0,6.0,2.0,6.0,4.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0
13,Never,New Types,Muslim,5.0,3.0,5.0,4.0,4.0,7.0,4.0,3.0,2.0,2.0,4.0,1.0,5.0,4.0
17,Never,Bi,Other,6.0,2.0,6.0,3.0,3.0,7.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0
19,Never,Asexual,Atheist,1.0,6.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0
14,Never,New Types,Christian,2.0,6.0,7.0,5.0,3.0,5.0,1.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0
29,Married,Hetero,Christian,6.0,6.0,5.0,6.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0
21,Never,Bi,Other,5.0,7.0,1.0,4.0,5.0,5.0,6.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0
17,Never,Hetero,Atheist,2.0,5.0,6.0,7.0,5.0,6.0,6.0,2.0,2.0,3.0,3.0,1.0,1.0,5.0
21,Never,Bi,Other,7.0,5.0,6.0,7.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,1.0,4.0,1.0
23,Never,Bi,Atheist,4.0,6.0,6.0,7.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,1.0,4.0,5.0
28,Never,Hetero,Atheist,4.0,3.0,6.0,7.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,1.0,1.0,5.0
20,Never,Hetero,Agnostic,4.0,7.0,7.0,4.0,7.0,6.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0,7.0
20,Never,Bi,Other,5.0,4.0,6.0,3.0,7.0,6.0,1.0,4.0,3.0,4.0,3.0,1.0,4.0,1.0
19,Never,Bi,Agnostic,1.0,6.0,7.0,6.0,6.0,2.0,2.0,4.0,1.0,4.0,2.0,1.0,4.0,7.0
17,Never,Hetero,Muslim,6.0,3.0,7.0,6.0,6.0,7.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0
15,Never,Bi,Atheist,1.0,6.0,7.0,7.0,6.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,4.0,5.0
18,Never,Asexual,Atheist,2.0,2.0,7.0,6.0,6.0,6.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,5.0
26,Never,Hetero,Atheist,2.0,1.0,6.0,5.0,5.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,5.0
19,Never,Hetero,Muslim,5.0,6.0,6.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,4.0
31,Never,Bi,Muslim,5.0,3.0,6.0,3.0,5.0,5.0,2.0,4.0,3.0,2.0,4.0,1.0,4.0,4.0
26,Never,Asexual,Agnostic,1.0,3.0,6.0,7.0,4.0,5.0,2.0,2.0,3.0,4.0,4.0,1.0,3.0,7.0
24,Never,Hetero,Agnostic,2.0,5.0,7.0,6.0,7.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,7.0
25,Never,Hetero,Atheist,2.0,6.0,2.0,7.0,6.0,5.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0
45,Never,Hetero,Atheist,4.0,4.0,7.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,5.0
15,Never,Hetero,Other,5.0,6.0,6.0,6.0,6.0,4.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0
27,Never,Homo,Christian,6.0,1.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0,2.0,3.0
30,Never,Hetero,Christian,5.0,5.0,2.0,5.0,2.0,5.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0
28,Never,Hetero,Agnostic,5.0,7.0,5.0,6.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,7.0
33,Married,Hetero,Protestant,4.0,6.0,1.0,5.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,1.0,6.0
14,Never,Bi,Christian,5.0,3.0,7.0,7.0,7.0,7.0,3.0,2.0,2.0,3.0,4.0,1.0,4.0,3.0
34,Married,Hetero,Christian,3.0,6.0,2.0,3.0,6.0,5.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0
18,Never,Hetero,Christian,7.0,6.0,3.0,2.0,6.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
25,Never,Bi,Muslim,2.0,5.0,6.0,7.0,5.0,4.0,4.0,4.0,2.0,3.0,4.0,1.0,4.0,4.0
30,Never,Hetero,Muslim,6.0,6.0,7.0,6.0,7.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0
29,Married,Homo,Protestant,3.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,2.0,4.0,2.0,3.0,2.0,6.0
30,Never,Bi,Agnostic,5.0,7.0,6.0,6.0,7.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,4.0,7.0
19,Never,Hetero,Muslim,6.0,5.0,7.0,6.0,7.0,1.0,3.0,2.0,4.0,2.0,4.0,1.0,1.0,4.0
21,Never,Homo,Protestant,1.0,6.0,7.0,7.0,3.0,6.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,6.0
25,Never,Hetero,Agnostic,1.0,6.0,7.0,7.0,6.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,7.0
22,Never,Hetero,Hindu,6.0,6.0,7.0,2.0,6.0,2.0,5.0,4.0,2.0,2.0,3.0,1.0,1.0,8.0
22,Never,Hetero,Hindu,1.0,4.0,7.0,7.0,7.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,8.0
30,Never,Hetero,Agnostic,2.0,5.0,4.0,4.0,5.0,7.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,7.0
23,Never,Hetero,Hindu,5.0,1.0,6.0,5.0,4.0,5.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,8.0
15,Never,Bi,Christian,6.0,7.0,7.0,4.0,5.0,3.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0,3.0
22,Never,Asexual,Hindu,2.0,6.0,7.0,7.0,5.0,1.0,5.0,3.0,3.0,3.0,4.0,1.0,3.0,8.0
21,Never,Hetero,Muslim,3.0,5.0,5.0,6.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0
28,Never,Hetero,Atheist,7.0,4.0,6.0,2.0,6.0,7.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,5.0
19,Never,Hetero,Muslim,7.0,2.0,7.0,2.0,6.0,7.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0
36,Married,Hetero,Christian,6.0,7.0,7.0,7.0,7.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0
25,Never,New Types,Atheist,1.0,3.0,7.0,7.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,1.0,5.0,5.0
16,Never,Bi,Protestant,5.0,6.0,5.0,3.0,5.0,6.0,3.0,3.0,4.0,4.0,4.0,1.0,4.0,6.0
14,Never,New Types,Atheist,2.0,2.0,7.0,6.0,3.0,6.0,1.0,3.0,3.0,3.0,4.0,1.0,5.0,5.0
16,Never,Hetero,Agnostic,1.0,6.0,5.0,7.0,4.0,2.0,6.0,2.0,1.0,1.0,3.0,1.0,1.0,7.0
15,Never,New Types,Agnostic,5.0,6.0,7.0,6.0,5.0,6.0,4.0,3.0,2.0,3.0,4.0,1.0,5.0,7.0
27,Married,New Types,Christian Other,5.0,3.0,7.0,5.0,4.0,6.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,2.0
25,Never,Hetero,Hindu,6.0,6.0,1.0,3.0,6.0,5.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0
21,Never,Hetero,Christian Other,3.0,4.0,7.0,7.0,7.0,5.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,2.0
28,Never,New Types,Muslim,3.0,5.0,5.0,7.0,7.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,4.0
31,Never,Hetero,Atheist,1.0,6.0,6.0,7.0,5.0,5.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,5.0
31,Never,Bi,Christian,5.0,2.0,6.0,2.0,5.0,6.0,3.0,4.0,3.0,4.0,4.0,1.0,4.0,3.0
55,Married,Hetero,Atheist,2.0,1.0,6.0,5.0,2.0,7.0,6.0,1.0,3.0,2.0,1.0,3.0,1.0,5.0
52,Never,Hetero,Atheist,2.0,2.0,7.0,7.0,7.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0
21,Never,New Types,Muslim,6.0,6.0,5.0,4.0,6.0,5.0,4.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0
19,Never,Bi,Agnostic,5.0,3.0,7.0,4.0,5.0,1.0,2.0,4.0,4.0,4.0,4.0,1.0,4.0,7.0
18,Never,Hetero,Muslim,4.0,3.0,7.0,4.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0
14,Never,New Types,Agnostic,3.0,4.0,6.0,7.0,6.0,6.0,2.0,4.0,4.0,4.0,3.0,1.0,5.0,7.0
19,Never,Homo,Muslim,2.0,5.0,6.0,7.0,6.0,6.0,4.0,3.0,4.0,1.0,3.0,1.0,2.0,4.0
32,Never,Hetero,Christian Other,5.0,6.0,5.0,5.0,7.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
21,Never,Hetero,Muslim,1.0,5.0,7.0,7.0,6.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0
17,Never,Bi,Agnostic,2.0,6.0,4.0,4.0,4.0,5.0,4.0,1.0,3.0,2.0,3.0,1.0,4.0,7.0
